Atividade;Tags
Desconectar-se por 1 minuto para relaxar a mente.;Sem Tag
Fazer 20 flexões.;Treino
Atualizar sua biografia em redes sociais profissionais.;Sem Tag
Fazer um alongamento da coluna em pé.;Sem Tag
Organizar os fones de ouvido ou eletrônicos.;Sem Tag
Mandar uma mensagem positiva para o grupo de trabalho.;Sem Tag
Tirar uma foto rápida da sua área de trabalho organizada.;Sem Tag
Fazer uma pequena caminhada ao redor do local de trabalho.;Sem Tag
Fazer uma meditação de atenção plena por 1 minuto.;Meditação
Revisar rapidamente a ordem de prioridades do dia.;Sem Tag
Ler uma frase inspiradora e compartilhar com um amigo.;Sem Tag
Fechar os olhos e fazer uma pausa de 1 minuto.;Meditação
Organizar os marcadores de páginas no navegador.;Sem Tag
Anotar uma ideia de melhoria no fluxo de trabalho.;Foco
Fazer um exercício de respiração relaxante.;Sem Tag
Tirar um minuto para refletir sobre algo positivo que aconteceu recentemente.;Meditação
Fazer uma massagem rápida nas mãos.;Sem Tag
Esticar os braços para cima e segurar por 10 segundos.;Treino
Fazer 10 saltos curtos.;Treino
Organizar os ícones da área de trabalho.;Sem Tag
Desconectar-se das redes sociais por 5 minutos.;Foco
Atualizar sua lista de músicas favoritas.;Sem Tag
Apagar anotações antigas desnecessárias.;Sem Tag
Limpar rapidamente o teclado ou mouse.;Sem Tag
Fazer um exercício rápido de concentração;Sem Tag
Ajustar as configurações de iluminação no seu ambiente.;Sem Tag
Mandar uma mensagem motivacional para um colega.;Sem Tag
Verificar o seu progresso em uma tarefa.;Foco
Lavar as mãos com água fria para refrescar-se.;Sem Tag
Organizar os materiais de escrita na mesa.;Sem Tag
Fazer uma breve pesquisa no Google sobre algo que te intriga.;Sem Tag
Conferir os aniversários do mês.;Sem Tag
Escrever um e-mail de agradecimento para um cliente ou colega.;Sem Tag
Conferir as redes sociais por atualizações rápidas.;Sem Tag
Fazer um alongamento rápido de pernas.;Sem Tag
Organizar os papéis na sua mesa de trabalho.;Sem Tag
Mudar o status do seu perfil em uma rede social.;Sem Tag
Responder a uma mensagem pendente de um amigo.;Sem Tag
Limpar sua caneca de café.;Sem Tag
Fazer um exercício de relaxamento dos olhos.;Sem Tag
Organizar a lixeira do computador.;Sem Tag
Mandar uma mensagem de incentivo a um colega.;Sem Tag
Fazer uma lista de tarefas pendentes e definir prioridades.;Sem Tag
Ajustar a altura da cadeira para melhorar a postura.;Sem Tag
Esticar as costas e ombros por 30 segundos.;Sem Tag
Trocar rapidamente de ambiente de trabalho (se possível).;Sem Tag
Fazer um alongamento lateral.;Treino
Beber um gole de água lentamente;Sem Tag
Fazer uma pequena caminhada no ambiente de trabalho.;Sem Tag
Abrir uma aba no navegador para pesquisar algo novo.;Sem Tag
Atualizar suas configurações de segurança digital.;Sem Tag
Tirar um minuto para observar sua respiração.;Sem Tag
Reorganizar a disposição dos objetos na mesa.;Sem Tag
Mandar uma mensagem de bom humor para um colega.;Sem Tag
Anotar três metas para a próxima semana.;Sem Tag
Fazer um exercício de respiração focado.;Meditação
Organizar os fones de ouvido em um organizador.;Sem Tag
Ler uma frase inspiradora de um autor famoso.;Sem Tag
Fazer uma pausa rápida para um lanche saudável.;Sem Tag
Experimentar um exercício de relaxamento para as mãos.;Sem Tag
Verificar se há atualizações para seus aplicativos de trabalho.;Sem Tag
Desligar e ligar seu monitor para descansar a vista.;Sem Tag
Mandar uma mensagem para um mentor ou líder.;Sem Tag
Limpar os braços da cadeira.;Sem Tag
Anotar uma nova ideia de projeto.;Sem Tag
Fazer 1 minuto de prancha (exercício físico).;Treino
Fazer uma anotação sobre uma melhoria para o próximo projeto.;Sem Tag
Atualizar o papel de parede da área de trabalho.;Sem Tag
Sentar-se com os pés descalços no chão e relaxar.;Sem Tag
Configurar um lembrete de tarefa importante para o final do dia.;Sem Tag
Fazer um exercício rápido de meditação de mindfulness.;Meditação
Ajustar o brilho do monitor para evitar fadiga ocular.;Sem Tag
Mandar uma mensagem para alguém agradecendo por algo recente.;Sem Tag
Criar uma nota com ideias de melhorias para a sua rotina.;Sem Tag
Verificar o calendário de compromissos da semana.;Sem Tag
Tomar 5 respirações profundas e focadas.;Sem Tag
Organizar rapidamente a área de trabalho no computador.;Sem Tag
Checar o progresso de um projeto importante.;Foco
Fazer um exercício de rotação de tornozelos.;Treino
Beber um copo de suco ou chá para reenergizar.;Sem Tag
Escrever rapidamente uma lista de gratidão.;Sem Tag
Trocar a sua caneta por uma nova ou mais confortável.;Sem Tag
Mandar uma mensagem de apoio para um colega.;Sem Tag
Fazer uma pausa para ajustar sua postura na cadeira.;Sem Tag
Ler um parágrafo de um livro inspirador.;Sem Tag
Mandar um recado rápido para a família.;Sem Tag
Conferir as notícias locais por 1 minuto.;Sem Tag
Organizar seus clipes de papel ou materiais pequenos.;Sem Tag
Fazer um exercício de mindfulness observando sua respiração.;Sem Tag
Compartilhar um artigo interessante com um colega.;Sem Tag
Trocar o lugar de um objeto decorativo na sua mesa.;Sem Tag
Planejar rapidamente um próximo passeio ou encontro.;Sem Tag
Mandar um elogio sincero a um amigo ou colega.;Sem Tag
Fazer uma pequena pausa para ouvir uma música relaxante.;Sem Tag
Escrever um pensamento positivo sobre o seu dia.;Sem Tag
Lembrar de algo engraçado e compartilhar com alguém.;Sem Tag
Revisar o seu progresso no trabalho do dia.;Sem Tag
Mandar uma mensagem de agradecimento para alguém importante.;Sem Tag
Organizar rapidamente sua estante de livros.;Sem Tag
Fazer uma pausa para respirar ar fresco (se possível).;Sem Tag
Planejar uma atividade de lazer para o final do dia.;Sem Tag
Fazer uma caminhada curta pelo ambiente de trabalho.;Sem Tag
Conferir o andamento de suas metas semanais.;Sem Tag
Escrever um tweet ou post rápido de reflexão sobre o dia.;Sem Tag
Tirar um minuto para sorrir e relaxar os músculos faciais.;Sem Tag
Fazer uma mini meditação de gratidão.;Meditação
Mandar uma mensagem positiva para um familiar.;Sem Tag
Fazer um exercício de relaxamento do maxilar.;Sem Tag
Atualizar suas playlists de músicas de foco.;Foco
Organizar os papéis de anotações na sua mesa.;Sem Tag
Fazer uma pausa para beber algo quente;Sem Tag
Fazer uma série rápida de 10 abdominais.;Treino
Organizar os itens de escritório no seu ambiente de trabalho.;Sem Tag
Experimentar um exercício de concentração;Foco
Fazer um exercício rápido de equilíbrio;Treino
Fazer uma pausa para massagem nos ombros.;Sem Tag
Escrever uma reflexão sobre sua última tarefa concluída.;Sem Tag
Mandar um áudio rápido para um amigo perguntando como ele está.;Sem Tag
Atualizar seu perfil em uma rede social.;Sem Tag
Organizar seus cabos eletrônicos.;Sem Tag
Fazer uma pausa para relembrar um momento feliz.;Sem Tag
Desenhar um rascunho rápido de uma ideia que teve.;Sem Tag
Sentar-se em silêncio e respirar profundamente por 2 minutos.;Meditação
Organizar seus materiais de estudo ou trabalho em pastas.;Trabalho
Fazer uma caminhada rápida até a janela e olhar para fora.;Sem Tag
Mandar uma mensagem de carinho para um ente querido.;Sem Tag
Planejar sua próxima refeição de forma saudável.;Sem Tag
Ligar para um parente para um bate-papo rápido.;Sem Tag
Fazer uma rotação suave dos punhos para relaxar as mãos.;Sem Tag
Escrever um plano rápido para uma tarefa pendente.;Trabalho
Fazer uma rápida verificação nas redes sociais profissionais.;Trabalho
Organizar a barra de ferramentas do seu navegador.;Sem Tag
Limpar e organizar sua mesa de cabeceira (se estiver em home office).;Sem Tag
Fazer um exercício de mindfulness de 2 minutos observando sons ao redor.;Sem Tag
Escrever uma frase inspiradora para o dia.;Sem Tag
Tirar 2 minutos para meditar em silêncio.;Meditação
Fazer um breve alongamento do quadril.;Treino
Escrever uma ideia para melhorar a organização do seu espaço de trabalho.;Sem Tag
Organizar suas anotações ou cadernos de forma lógica.;Sem Tag
Fazer uma pausa para se desconectar de dispositivos eletrônicos.;Sem Tag
Verificar rapidamente sua lista de compromissos pessoais.;Sem Tag
Escrever uma pergunta que gostaria de pesquisar mais tarde.;Sem Tag
Mandar uma mensagem de agradecimento a um cliente.;Sem Tag
Planejar um próximo desafio pessoal ou profissional.;Sem Tag
Fazer uma pausa para beber um suco ou vitamina.;Sem Tag
Esticar as pernas enquanto está sentado.;Sem Tag
Limpar rapidamente o mousepad.;Sem Tag
Anotar o que precisa comprar na próxima ida ao supermercado.;Sem Tag
Experimentar uma nova música de fundo enquanto trabalha.;Sem Tag
Tirar um tempo para limpar sua caixa de entrada de e-mails.;Sem Tag
Ler uma notícia rápida sobre um tema que te interessa.;Sem Tag
Anotar uma meta de longo prazo.;Sem Tag
Fazer uma massagem rápida nas têmporas para aliviar o estresse.;Sem Tag
Compartilhar um artigo interessante com um colega.;Sem Tag
Organizar as abas abertas no navegador.;Sem Tag
Testar uma nova técnica de respiração profunda.;Meditação
Fazer 10 flexões ou um exercício físico rápido.;Treino
Revisar rapidamente o seu calendário mensal.;Sem Tag
Mandar um elogio genuíno a alguém no trabalho.;Sem Tag
Tirar uma foto rápida da sua estação de trabalho.;Sem Tag
Assistir a um vídeo engraçado por 1 minuto.;Sem Tag
Organizar os cabos de carregamento de eletrônicos.;Sem Tag
Anotar um pequeno aprendizado do dia.;Sem Tag
Enviar um GIF divertido para alguém que precisa de ânimo.;Sem Tag
Fazer uma pausa para um lanche leve e saudável.;Sem Tag
Escrever uma frase positiva para motivar o restante do dia.;Sem Tag
Experimentar uma nova técnica de alongamento para as costas.;Treino
Mandar uma mensagem de encorajamento para alguém.;Sem Tag
Verificar a sua lista de desejos em uma loja online.;Sem Tag
Fazer uma pausa para desenhar um esboço rápido.;Sem Tag
Ajustar o seu cronograma para a próxima semana.;Sem Tag
Anotar três tarefas que você deseja concluir hoje.;Foco
Fazer uma rotação rápida dos ombros e pescoço.;Treino
Limpar o histórico de navegação do navegador.;Sem Tag
Mandar uma mensagem para alguém que você não fala há um tempo.;Sem Tag
Organizar os itens de papelaria na sua mesa.;Sem Tag
Ouvir uma música relaxante por 2 minutos.;Sem Tag
Mandar uma foto rápida do seu ambiente de trabalho para um amigo.;Sem Tag
Conferir os eventos do calendário para o final de semana.;Sem Tag
Anotar uma ideia para melhorar a produtividade.;Sem Tag
Criar uma lista de presentes que você gostaria de comprar.;Sem Tag
Fazer uma pausa para refletir sobre o progresso do seu dia.;Sem Tag
Escrever um lembrete para uma tarefa futura.;Sem Tag
Organizar os ícones da barra de tarefas no computador.;Sem Tag
Mandar um agradecimento para alguém que te ajudou recentemente.;Sem Tag
Fazer um exercício de mindfulness por 3 minutos.;Meditação
Conferir o saldo bancário ou revisar suas finanças.;Sem Tag
Anotar algo positivo que aconteceu na última hora.;Sem Tag
Fazer uma pausa para beber um chá ou café calmante.;Sem Tag
Organizar as suas senhas em um gerenciador de senhas.;Sem Tag
Testar uma nova postura ergonômica na cadeira.;Sem Tag
Mandar um áudio motivacional para um colega.;Sem Tag
Limpar a tela do celular ou tablet.;Sem Tag
Atualizar o seu perfil no LinkedIn ou em outra rede profissional.;Sem Tag
Tirar 1 minuto para fechar os olhos e relaxar a mente.;Meditação
Fazer uma pequena massagem nos pés.;Sem Tag
Tirar uma foto criativa da sua estação de trabalho.;Sem Tag
Criar uma nova playlist para os momentos de concentração.;Sem Tag
Repassar mentalmente as metas do dia.;Foco
Conferir rapidamente a previsão de clima para os próximos dias.;Sem Tag
Verificar se há atualizações de software no computador.;Sem Tag
Mandar um “bom dia” para um grupo de amigos.;Sem Tag
Organizar a área de trabalho do seu computador.;Sem Tag
Fazer um alongamento rápido de tornozelos e pés.;Treino
Mandar um recado para um colega ou amigo desejando boa sorte.;Sem Tag
Revisar um projeto rápido em andamento.;Sem Tag
Atualizar o calendário com compromissos pessoais.;Sem Tag
Beber um copo de água lentamente;Sem Tag
Fazer uma pausa para alongar as costas e ombros.;Treino
Anotar uma coisa nova que você aprendeu hoje.;Sem Tag
Organizar sua lista de favoritos no navegador.;Sem Tag
Criar uma pequena lista de objetivos para a próxima semana.;Sem Tag
Fazer uma pausa para respirar fundo e relaxar a mente.;Meditação
