Atividade;Tags
Take a minute to smile and relax your facial muscles.;No Tag
Do a mini gratitude meditation.;Meditation
Send a positive message to a family member.;No Tag
Do a jaw relaxation exercise.;No Tag
Update your focus music playlists.;Focus
Organize your note papers on your desk.;No Tag
Take a break to drink something hot.;No Tag
Do a quick set of 10 sit-ups.;Training
Organize your office items in your workspace.;No Tag
Try a concentration exercise.;Focus
Do a quick balance exercise.;Training
Take a break for a shoulder massage.;No Tag
Write a reflection on your last completed task.;No Tag
Send a quick audio message to a friend asking how they're doing.;No Tag
Update your profile on a social media platform.;No Tag
Organize your electronic cables.;No Tag
Take a break to recall a happy moment.;No Tag
Quickly sketch a draft of an idea you had.;No Tag
Sit in silence and breathe deeply for 2 minutes.;Meditation
Organize your study or work materials into folders.;Work
Take a quick walk to the window and look outside.;No Tag
Send a message of affection to a loved one.;No Tag
Plan your next healthy meal.;No Tag
Call a relative for a quick chat.;No Tag
Do a smooth wrist rotation to relax your hands.;No Tag
Write a quick plan for a pending task.;Work
Do a quick check on your professional social media.;Work
Organize your browser’s toolbar.;No Tag
Clean and organize your nightstand (if working from home).;No Tag
Do a 2-minute mindfulness exercise observing surrounding sounds.;No Tag
Write an inspiring phrase for the day.;No Tag
Take 2 minutes to meditate in silence.;Meditation
Do a brief hip stretch.;Training
Write an idea to improve the organization of your workspace.;No Tag
Organize your notes or notebooks logically.;No Tag
Take a break to disconnect from electronic devices.;No Tag
Quickly check your personal commitment list.;No Tag
Write a question you want to research later.;No Tag
Send a thank-you message to a client.;No Tag
Plan your next personal or professional challenge.;No Tag
Take a break to drink a juice or smoothie.;No Tag
Stretch your legs while sitting.;No Tag
Quickly clean your mousepad.;No Tag
Write down what you need to buy next time at the supermarket.;No Tag
Try a new background music while working.;No Tag
Take time to clean your email inbox.;No Tag
Read a quick news article on a topic you’re interested in.;No Tag
Write a long-term goal.;No Tag
Give your temples a quick massage to relieve stress.;No Tag
Share an interesting article with a colleague.;No Tag
Organize the open tabs in your browser.;No Tag
Try a new deep breathing technique.;Meditation
Do 10 push-ups or a quick physical exercise.;Training
Quickly review your monthly calendar.;No Tag
Send a genuine compliment to someone at work.;No Tag
Take a quick photo of your workspace.;No Tag
Watch a funny video for 1 minute.;No Tag
Organize your electronic charging cables.;No Tag
Write down a small learning from the day.;No Tag
Send a fun GIF to someone who needs a boost.;No Tag
Take a break for a light, healthy snack.;No Tag
Write a positive sentence to motivate the rest of your day.;No Tag
Try a new stretching technique for your back.;Training
Send an encouraging message to someone.;No Tag
Check your wish list in an online store.;No Tag
Take a break to quickly sketch.;No Tag
Adjust your schedule for the next week.;No Tag
Write down three tasks you want to complete today.;Focus
Do a quick rotation of your shoulders and neck.;Training
Clean your browser’s history.;No Tag
Send a message to someone you haven’t spoken to in a while.;No Tag
Organize the stationery items on your desk.;No Tag
Listen to relaxing music for 2 minutes.;No Tag
Send a quick photo of your workspace to a friend.;No Tag
Check the calendar events for the weekend.;No Tag
Write down an idea to improve productivity.;No Tag
Create a list of presents you would like to buy.;No Tag
Take a break to reflect on your day’s progress.;No Tag
Write a reminder for a future task.;No Tag
Organize your taskbar icons on the computer.;No Tag
Send a thank-you message to someone who helped you recently.;No Tag
Do a 3-minute mindfulness exercise.;Meditation
Check your bank balance or review your finances.;No Tag
Write down something positive that happened in the last hour.;No Tag
Take a break to drink a soothing tea or coffee.;No Tag
Organize your passwords in a password manager.;No Tag
Try a new ergonomic posture in your chair.;No Tag
Send a motivational audio message to a colleague.;No Tag
Clean your phone or tablet screen.;No Tag
Update your profile on LinkedIn or another professional network.;No Tag
Take 1 minute to close your eyes and relax your mind.;Meditation
Give your feet a small massage.;No Tag
Take a creative photo of your workspace.;No Tag
Create a new playlist for concentration moments.;No Tag
Mentally review your goals for the day.;Focus
Quickly check the weather forecast for the next days.;No Tag
Check for software updates on your computer.;No Tag
Send a "good morning" message to a group of friends.;No Tag
Organize your computer’s desktop.;No Tag
Do a quick ankle and foot stretch.;Training
Send a note to a colleague or friend wishing them good luck.;No Tag
Review a quick ongoing project.;No Tag
Update your personal calendar with appointments.;No Tag
Drink a glass of water slowly.;No Tag
Take a break to stretch your back and shoulders.;Training
Write down something new you learned today.;No Tag
Organize your browser’s bookmarks.;No Tag
Create a small list of objectives for next week.;No Tag
Take a break to breathe deeply and relax your mind.;Meditation
